Tags:,base_image,dockerfile,base_requirements,specific_requirements,runtime,requirements_dockerfile,stanza_name
minimal-cpu,python:3.9,Dockerfile.debian,base_functional.txt,specific_minimal_cpu.txt,none,Dockerfile.debian.requirements,Minimal CPU (5.1.2)
minimal-gpu,nvidia/cuda:11.3.1-cudnn8-runtime-ubuntu20.04,Dockerfile.debian,base_functional.txt,specific_minimal_gpu.txt,nvidia,Dockerfile.debian.requirements,Minimal GPU (5.1.2)
golden-cpu,python:3.9,Dockerfile.debian,base_functional.txt,specific_golden_cpu.txt,none,Dockerfile.debian.requirements,Golden Image CPU (5.1.2)
golden-cpu-ollama,python:3.9,Dockerfile.debian,base_functional.txt,specific_golden_cpu_ollama.txt,none,Dockerfile.debian.requirements,Ollama CPU (5.1.2)
golden-gpu,nvidia/cuda:12.2.2-cudnn8-runtime-ubuntu20.04,Dockerfile.debian,base_functional.txt,specific_golden_gpu.txt,nvidia,Dockerfile.debian.requirements,Golden Image GPU (5.1.2)
ubi-functional-cpu,redhat/ubi9,Dockerfile.redhat,base_functional.txt,empty.txt,none,Dockerfile.redhat.requirements,Red Hat UBI Functional CPU (5.1.2)
ubi-minimal-cpu,redhat/ubi9,Dockerfile.redhat,base_functional.txt,specific_minimal_cpu.txt,none,Dockerfile.redhat.requirements,Red Hat UBI Minimal CPU (5.1.2)
ubi-golden-cpu,redhat/ubi9,Dockerfile.redhat,base_functional.txt,specific_golden_cpu_redhat.txt,none,Dockerfile.redhat.requirements,Red Hat UBI Golden CPU (5.1.2)
ubi-llm-rag,redhat/ubi9,Dockerfile.redhat,base_functional.txt,specific_llm_rag.txt,none,Dockerfile.redhat.requirements,Red Hat LLM RAG CPU (5.1.2)
golden-gpu-transformers,nvidia/cuda:11.3.1-cudnn8-runtime-ubuntu20.04,Dockerfile.debian.transformers,base_functional.txt,specific_golden_gpu_transformers.txt,nvidia,Dockerfile.debian.requirements,Transformers GPU (5.1.2)
golden-cpu-transformers,python:3.9.13-bullseye,Dockerfile.debian.transformers,base_functional.txt,specific_golden_cpu_transformers.txt,none,Dockerfile.debian.requirements,Transformers CPU (5.1.2)
golden-gpu-rapids,rapidsai/base:23.08-cuda11.2-py3.9,Dockerfile.debian.rapids,base_functional.txt,specific_rapids.txt,nvidia,Dockerfile.debian.requirements,Rapids 23.08 (5.1.2)
escu-cpu,python:3.9,Dockerfile.debian.escu,base_functional.txt,specific_escu.txt,none,Dockerfile.debian.requirements,ESCU (5.1.2)
spark,jupyter/all-spark-notebook:spark-3.5.0,Dockerfile.debian.spark,base_functional.txt,specific_spark.txt,none,Dockerfile.debian.requirements,Spark 3.5.0 (5.1.2)
